Регион;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
        Мурманская область;192919,2;198253,5;244033;238891,7;255722,6;288024,4;334062,6;321803,9;349902,9;368412,5;422102,1;519708,2;537182,7;674695;613469,5;557892,7;594921;427348,5;643705,8;666534,7
        Новгородская область;182523;234684;299383;350087,1;422269,2;485867,4;485289,3;469658;521596,5;518933,2;546186,8;168282,2;792407,3;764332,3;788692,6;701158;634538,2;641621,2;813696,7;1021348,2
        Псковская область;131755,9;139443;200367,2;203905;221910;247057;279607;251231;307290,4;316296,7;343901;417174,7;452462,7;536263,3;558264,2;643883,7;592473,8;416334;520219;639854
        Город Санкт-Петербург город федерального значения;999847;1250410,7;1092225,1;1814214,1;1740537,7;1934762,8;1821901,9;1934023,5;1827016,6;1901564,5;1947668,5;2259436,8;3465571,8;3845284;3660798,2;3830083,8;2620799;2578084,4;4427484,7;4124851,4
    Южный федеральный округ (по 2009 год);12503070,1;16290683,2;20379603,7;24080343,9;27000488,7;34102827,2;37373879,7;;;;;;;;;;;;;
    Южный федеральный округ (с 2010 года);;;;;;;;24926442,5;24734655,7;26401891,7;28004314,6;32158726,7;34854548,5;;;;;;;
    Южный федеральный округ (с 29.07.2016);;;;;;;;;;;;;;57629993,6;46636783;48852899,9;51666124,8;34654277,2;56957212,4;57359987,2
        Республика Адыгея (Адыгея);35252,4;41277;77113,7;55724,4;59928,6;69578,8;28935;32327;84410,8;60996,4;63201,7;13069,8;11897,3;86477,7;135869,1;175839,6;179973,8;127988,4;211271;236281,3
        Республика Калмыкия;1522,6;0;10222,8;9757,9;2972,2;11464,6;0;0;0;0;0;0;6159;5996,2;0;0;0;;;
        Республика Крым;;;;;;;;;;;;4318760,5;8932627;10252716,3;12313852,7;13868870,6;16363818;10088258,6;18586419,2;15124781,3
        Краснодарский край;7860926,4;10794982,5;13671437,8;16003419,2;16950742,3;20964481,6;22698841,2;23763560,1;23193570,6;24649623,7;26261075,8;30372749,5;32947015,9;45363324,7;32600307;32818857,1;33129874;23049151,2;36664640,4;40438639,8
        Астраханская область;71363,4;88810,7;111027,8;125540,3;147349,5;209047,4;280820,4;196139,1;180465,3;172503;234663,2;265742,7;274492,9;271999,5;287783,3;332833,7;367189,3;280214,7;371591,3;477362,3
        Волгоградская область;285120,5;345984,1;450200,1;483559,3;539971,9;493941,7;566890,1;583116,5;654634;815907,6;760962,1;802669,8;863601,9;909749;708421,1;762650,2;710313,7;392968,7;313969,6;407545,2
        Ростовская область;209967,8;210258,9;408566,5;401728,5;439722,8;453778,1;556198,5;351299,8;621575;702861;684411,8;704494,9;751381,5;739730,2;590549,8;868063,2;738397;620049,1;650931,5;577375,4
        Город федерального значения Севастополь;;;;;;;;;;;;100916,5;;;;25785,5;176559;95646,5;158389,4;98001,9
    Северо-Кавказский федеральный округ;;;;;;;;16771587,4;15696284,5;16623604,1;17656355,6;18433794,7;21017326,2;23614658;18626504,5;24736103,7;22904936,8;15866059,3;22345730,4;27676047,7
        Республика Дагестан;40126,1;111848,6;177281,6;105740,7;125136,6;222198,2;183075,4;180470,1;112869;201001,6;283772;271640,2;246804,2;292317,7;234664,8;316417,7;312025,1;163128,9;532739,2;605957,1
        Республика Ингушетия;0;2840,6;7508,4;0;9447,8;;12400;31177;40589,9;45393,6;49672,9;36332,1;;;;;;23647;61720;99147
        Кабардино-Балкарская Республика;209081,1;298913,1;362792,2;382067,7;607568,8;625426,3;869188,4;830321,5;753006,7;868263,5;1029483,6;999434,1;1084610,4;971146,9;477240,3;879352,3;843583,2;692575,1;1063507,6;1324730,2
        Карачаево-Черкесская Республика;92383;90802,6;92206,2;40193,6;49219,1;51477,8;49050,2;45402,9;30761,4;33815,4;32190,8;35635,3;37742;67350;63479,1;85626,8;20875,6;8133,9;18599,6;35334,5
        Республика Северная Осетия-Алания;54644,4;62551,7;51500,4;60729,8;85697,2;132174,5;173655,1;193959,5;138604,2;157761,9;136012,8;248389,2;238592;227497,8;216886,6;206353,2;194802,5;144109,6;100228,5;122201,2
        Чеченская Республика;;;;;;;;;;0;;49430,3;33184,4;27364;12314,6;0;32705,6;42757,7;35391;144615,5
        Ставропольский край;3642682,4;4242413,4;5019746,2;6411882,5;7982731,9;10869258,2;11954825,4;15490256,4;14620453,3;15317368,1;16125223,5;16792933,5;19376393,2;22028981,6;17621919,1;23248353,7;21500944,8;14791707,1;20533544,5;25344062,2
    Приволжский федеральный округ;6556308,8;7651895,8;9508558,3;11662955,1;13319686,4;17437218,4;15800477,1;16119239,4;18263776,9;19830174,4;21104580,4;22440861,2;23962868,5;23356807,5;22615938,1;24609272,8;25119707,6;19015025,9;22805553,7;26466630,8
        Республика Башкортостан;1112241,5;1496577,9;1850332,6;2162603,2;2310221,7;3225124,2;2730092,8;3136784,1;3641198;3945261,6;4477194,4;4643875,6;5154589,6;5529863,7;4867344,5;5223518,5;5262025,9;4355168,1;4178922;5233445,2
        Республика Марий Эл;90845;106572,4;181304,9;174811,8;198384,1;244283,1;246328;222447;271510,9;325494,9;363493;383960;350678,3;333695,2;374262,3;363606,9;327145,1;203826;307690,7;393779
        Республика Мордовия;79726;92875,2;127076,4;154743,5;166307,8;194681,5;189549,5;204465,3;238448,1;235636,3;232588,9;245310,5;242696,6;233838,4;230601;232302;241553;143188,9;197159,2;265516,3
        Республика Татарстан (Татарстан);984336,6;1170826,1;1379985,9;1631698,9;1782473,6;2254866,2;2340528,4;2159221;2371142,4;2805038;3056557,8;3363779,7;3490194,5;3458046,1;3726057,4;3644703,7;4077984,9;3119228;3299981,7;3122193,4
        Удмуртская Республика;497990,5;473991,7;524724,4;674364;868938,3;925766,4;1038237,2;1086478,9;1209097,9;1328264,8;1392537,5;1549417;1402594,9;1489705,9;1548670,3;1589071,4;1560050,2;1363815,8;1559674,9;1886366,6
        Чувашская Республика - Чувашия;218839,7;277829,5;391327,2;445761,9;500875,7;655176,6;591167,9;541309,8;758403,6;737245,5;772308;858955,5;911462,8;971411,6;1007112,4;1077375,9;1115421,1;735912,1;1069252,1;1389599,2
        Пермский край;1105164,3;1200995;1392274,6;1849974,5;2006146,6;3340796,9;2332285,3;2072295,3;2407466,3;2487576,9;2705894,6;2684194,2;2587124,2;2606529,8;2395122,1;3039258,8;2686818,7;2165687,8;3074470,3;3568663,1
            Коми-Пермяцкий округ, входящий в состав Пермского края;0;0;;;;;;;;;;;;;;;;;;
        Кировская область;447838,9;556276,3;660247,8;815621,3;945242,7;1128249,6;1192265,4;1221275,1;1341359,2;1426651,7;1374968,6;1426150,7;1481814,4;1376349,1;1342006,4;1435362,4;1427948,3;1082236,5;1487303,4;1900933,3
        Нижегородская область;385925,8;441739,1;527081,5;701157,6;884979,7;1021313,8;1097980,6;1212153;1179612,6;1157456,3;1469587,8;1681766,3;1725311,2;1532352;1453233,6;1696296,5;1781687,9;1136494,1;1645545,6;1845043,3
        Оренбургская область;239894,3;231129,3;363077,8;427063,8;586385,4;741175,5;679547,4;699290,2;849607,2;897688,5;922485,1;914569,2;970144,3;834636;822533,3;757857,1;837783,6;696837,4;637309;743444,8
        Пензенская область;159640,9;189265,4;341775,4;310003,1;376902,3;404540,5;456828,4;382107,1;445831,6;553556,6;531446,7;545182,1;623500,2;639394,6;624099;670661,7;695334,4;309783,5;527910,5;1074376
        Самарская область;662871,4;828222,4;1054623,8;1479969,3;1740975,9;2180349,8;1885425,9;1877194,1;2119510,2;2402092,3;2217968,1;2493185,9;2936567,2;2763633,2;2653646,6;3061481,8;3312930,7;2705912,9;3082424;3242759,6
        Саратовская область;295699,4;328389,4;409375,6;485815,7;569175,4;671375;579387,9;742683,2;848485,9;892436,2;965043,1;1016147,8;1231189,4;811109,5;897304,2;1120153,3;1096331,1;656491,7;1084479,3;1125743,6
        Ульяновская область;275294,5;257206,1;305350,4;349366,5;382677,2;449519,3;440852,4;561535,3;582103;635774,8;622506,8;634366,7;855000,9;776242,4;673945;697622,8;696692,7;340443,1;653431;674767,4
    Уральский федеральный округ;3746754,7;4474150,7;4883367,3;5824289,1;6607405,8;7779304,7;7363823,3;7550230,2;8347658,1;8922003,3;9692559,5;9591070,1;10030714,3;10171946,5;10038234,8;10238966,2;10586501,1;9114242,3;9619599,9;12322277,9
        Курганская область;208463,6;270740;130717,9;173033,3;264145,1;243894,7;224770,5;254737,3;378358,3;423036,1;502714,1;526726,6;620509,4;700319,2;538223,4;605227,8;628170,7;359054,9;534411,8;614493,7
        Свердловская область;1085317,9;1420361;1603374,8;1756551,9;2021528,3;2591025,4;2090461,8;2181531,4;2474665;2683708,3;2824700,1;2883238,5;2910379,2;2688058,4;2617081,4;2433787,4;2732866,3;2232545,9;2855985,4;3031974,7
        Тюменская область;1284989,6;1423913,9;1679896;2044587,4;2334558,8;2804783,9;2910883,7;2967869,4;3339427,2;3592731,1;4319792,9;4239048,8;4376444,1;4672605,2;4887857,7;5068683,4;5064292,1;4639909,5;3983815,2;5785504,9
            Ханты-Мансийский автономный округ - Югра (Тюменская область);395888,3;497014;534080,1;670027,3;786931;920866,4;941654;1054269,9;1155413,9;1174458,7;1295212,9;1476000,6;1652034,8;1669775,7;1830309,2;1740856,5;1878766,5;1904108,8;986935,9;2116120,9
            Ямало-Ненецкий автономный округ (Тюменская область);92179;68088,9;98317;123054,5;145946,5;172359;185718;202717;63056;74142;77786;73669;69291,8;20134,1;;;;;;
            Тюменская область (без АО);;;;;;;;;;2344130,4;2946794;2689379,2;2655117,5;;3057548,5;;;;;
            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);;;;;;;;;;;;;;2982695,4;3057548,5;3327826,9;3185525,6;2735800,7;2996879,3;3669384
        Челябинская область;1167983,6;1359135,8;1469378,6;1850116,5;1987173,6;2139600,7;2137707,3;2146092,1;2155207,6;2222527,8;2045352,4;1942056,2;2123381,6;2110963,7;1995072,3;2131267,6;2161172;1882732;2245387,5;2890304,6
    Сибирский федеральный округ;4741681,6;5182919,9;6723467,4;7846751,6;8550104,1;10953430,9;11289418,2;11187037,4;12269565,3;13380780,3;13623793,5;13778540,8;14928965,5;15194259,8;15049787,3;;;;;
    Сибирский федеральный округ;;;;;;;;;;;;;;;;14682319,2;15419938;12143438,9;15654048,6;16893776,9
        Республика Алтай;38235,8;47534,2;0;0;0;96148,5;117436,3;139802,7;145863,1;150365,9;150365,9;0;0;0;0;0;0;;58;
        Республика Тыва;21241,2;26594,1;44022,2;32299;55823;66549,7;75745,3;75599,9;77951,2;91087,5;81476,6;69681,4;81026,1;71219,2;76256,4;6795;7434;5538;6605,8;6140
        Республика Хакасия;179605,2;171085,1;264620,8;312276,8;402568;192419;522270,3;580249;629409,5;669700,4;724205;579503,3;590028,1;565928,7;300217,8;302550,4;348919,2;190664,8;238737,9;261015,7
        Алтайский край;1332801,9;1628016,6;1957406,5;2149177;2467046,5;3132879,6;3110824,9;3363898,9;3778369,4;4063834,2;4065977,9;4267681;5126665,9;5183805,5;5266619,6;5158997,2;5433986,2;4280028,3;5737893,6;6932018
        Красноярский край;661413,6;707627,2;890334,6;990349,9;962088,3;1315934,2;1487862,5;1515259;1345902,7;1541685,5;1570683;1663464,7;1458154,4;1550807,8;1573390,4;1520738,7;1778962,1;1444914,6;1956989,6;1297325,9
            Таймырский (Долгано-Ненецкий) автономный округ (Красноярский край);28490;26986;31480;26884;;;;;;;;;;;;;;;;
            Эвенкийский автономный округ (Красноярский край);0;0;;;;;;;;;;;;;;;;;;
        Иркутская область;584761,7;698463,5;852788,5;1042975,7;1059857,1;1282897,1;1183694,1;1172744,1;1254280,3;1273808,3;1418538,9;1361086,3;1411535,7;1407143,2;1372496,4;1341825,2;1441591,7;1120759,8;1430979,6;1482157
            Усть-Ордынский Бурятский округ;2052,9;1445,8;4368,6;6567,2;6199;;;;;;;;;;;;;;;
        Кемеровская область - Кузбасс;644112,4;529814,2;827661,1;985242;880803,3;1486713,4;1497571,9;989032;1423338,1;1554982,3;1425011,7;1719422,9;1807832,3;2312017,1;2096602,8;2324531,7;2091001,5;1707226,6;1954933,3;2215274,1
        Новосибирская область;432483,2;539236,3;671550,1;944867,8;1083453,4;1353975,8;1412640,1;1400840,4;1448214,4;1615988,8;1565981,2;1607571,5;1683676,6;1678731,2;2096066;2209978,8;2423995,8;1943482,5;2651517,2;2923009,6
        Омская область;371942,6;378987,9;535210,3;564841,6;698239,4;847707,8;783743,9;863310,8;935851,4;1056110,9;1214483;1273367,2;1381741,6;1279167;1094796,2;1250890,9;1245330,7;956507,7;864406,9;915828,2
        Томская область;150915,3;170654;259033,7;293004,1;354434,7;479450,7;491333,1;486416,4;557030,3;554507,1;580751,4;489385,6;560378,7;398454,1;518248,5;566011,3;648716,8;494316,6;811926,7;861008,4
    Дальневосточный федеральный округ;1629457,5;2047474,6;2125119,4;2419260,5;2529834,8;3126869,5;2993632,5;3137700,5;4377636,8;4404411,7;4628992,5;5093946,2;5116163,7;4785883,2;4389791,3;;;;;
    Дальневосточный федеральный округ;;;;;;;;;;;;;;;;4774022,2;6329312,9;3980277,5;3842520,9;3714515,7
        Республика Бурятия;206935;173750,5;272997,7;318699;353322;435999,6;439999,6;445336,7;518857,9;597781,2;576398,3;512028,7;497374,9;395014;327197;325513;355371,5;286807,4;412275,4;553879,8
        Забайкальский край;117233,7;111156,3;147841,9;213018,7;232468,4;262755,5;166296,2;154547,5;154497;210928,2;249920,6;235348,2;330551,2;351972;327896,2;347641,6;242456,2;159333,5;167586,3;161756,3
            Агинский Бурятский округ (Забайкальский край);3753,4;3294,2;3092,8;3846;232468,4;;;;;;;;;;;;;;;
        Республика Саха (Якутия);243512,6;296350,3;352862,3;391656;396130,5;488020,5;500667;557676,7;664933,9;639449,8;799168;892427,1;1049561,7;933544,6;1116686,7;876111,9;938239,5;142185,9;222981,8;193073
        Камчатский край;212712,7;249690,8;190786,7;177445,5;294746,3;344659,2;212202,6;219364,1;217157,2;118175;158329,6;153658,2;135819,3;170701,8;203073;203847;98063;55215;102267;64493,6
            Корякский округ, входящий в состав Камчатского края;0;0;;;;;;;;;;;;;;;;;;
        Приморский край;556328,5;718242,9;721437,5;845817;734496,9;1056567,4;1130639,7;1268660,3;2012792,7;1958856,4;2055869,1;2253355,1;2259618;2257634,7;1263626;918716,3;2194837,2;1384438;694431,5;811562
        Хабаровский край;208020,3;226396,2;256970,1;264804;296645,8;341735,6;344893,2;318980,2;339893,6;363289;372237,9;356830,7;380572,2;202589,8;569147,7;586707,6;573163,7;473083;606019,5;250139,5
        Амурская область;129948,5;144232,8;214015,3;208710,4;258815,1;308658,3;277210,4;284052,8;337950,5;353841,4;383654,2;398280,3;387265,6;308205,9;365051,9;370789,6;385497,4;378544,9;413496,4;501485,4
        Магаданская область;46790,9;82929,5;37724,1;100600,1;91702,2;150459,9;145258;142431,6;257607,8;357053;347910,8;355426,9;319537,4;299837,9;215384,4;392010,2;504245,6;55613,8;55207,1;51499
        Сахалинская область;134774,2;172158,6;185329,1;239388,2;275591,2;223816;142687;128098;361721;432266,6;325442,2;484801;403936,5;392721;430918;511192;805764,8;821029,6;891392;844516,3
        Еврейская автономная область;97369,8;157473,5;165994,3;190839,3;181706,8;212952,6;240074,6;218436,8;185580,1;181480,5;186380,7;199166,9;179853;220647,5;211570,9;213771;206914,3;217052,8;259056,9;282110,8
        Чукотский автономный округ;0;0;;;;;;;;;;;;;14332,7;27722;24759,7;6973,6;17807;
    Крымский федеральный округ;;;;;;;;;;;;4419677;8932627;;;;;;;
