Регион;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
        Архангельская область;107 423,60;137 366,60;174 761,10;213 493,30;255 788;291 472,80;327 552,30;347 337,50;404 784,10;427 520,90;469 205,90;460 015,40;428 663,70;449 969,70;626 405,10;394 612,80;463 967,40;203 945,60;329 470,70;441 006,30
            Ненецкий автономный округ (Архангельская область);0;0;;;;;;;;0;0;;;;;;;;;
            Архангельская область (без АО);;;;;;;;;;;;;;;626 405,10;;;;;
            Архангельская область (кроме Ненецкого автономного округа);;;;;;;;;;;469 205,90;460 015,40;428 663,70;449 969,70;626 405,10;394 612,80;463 967,40;203 945,60;329 470,70;441 006,30
        Вологодская область;179 239;226 692,10;325 208,80;358 116,20;442 066,20;550 207,60;616 799,60;590 493,10;606 957,30;634 158;693 371,60;709 900,40;737 470,10;733 725,50;673 934,60;683 084,90;717 601,40;637 815,70;882 262,30;1 063 473,30
        Калининградская область;312 960,90;353 854,20;389 282;451 838,30;567 700,20;688 157,80;592 855,40;515 599,10;704 832;774 595,30;803 261,20;860 426,40;1 008 013;955 973;1 045 066,70;1 113 447,40;1 251 454,40;950 952;1 457 525,70;1 666 959,70
        Ленинградская область;67 182,70;100 710,90;73 798;116 791,40;101 184,90;67 590,40;119 410,80;205 995,10;188 042,20;108 073,90;184 864,60;224 262,30;294 072,30;232 063;367 906,90;499 806,30;492 202,60;330 159,20;364 012,90;335 254,20
        Мурманская область;116 147;134 680;159 499,50;183 131,10;183 740,80;197 514,20;189 047;176 387,40;196 992;257 744,70;377 303,40;492 305;437 216,40;463 669,80;475 554,80;532 696,50;567 697,20;411 842,10;592 000,70;595 126,10
        Новгородская область;156 322,40;206 342;253 080;286 370,10;385 106,50;422 773,20;438 222,50;379 511,10;450 160,80;450 061,30;468 104;595 122,60;746 302,30;808 345,50;834 734,50;807 739,60;857 679,40;661 661,80;1 038 772,10;1 390 729,60
        Псковская область;131 745,20;76 392;66 659,20;90 773;102 272,60;129 237;128 998;148 118;190 923,50;180 987;199 572;295 092;357 493;509 755;589 317,90;650 211,70;618 067,30;398 964;546 077;640 502,80
        Город Санкт-Петербург город федерального значения;955 900,10;1 215 345,60;1 029 508,70;1 823 401,10;1 550 920,30;1 882 764,90;1 703 483,80;1 936 146,40;1 814 781,30;1 864 775,20;1 859 542;2 110 755,40;2 380 349,50;2 379 160,60;2 546 557,50;2 653 599,20;2 650 452,90;2 395 893,40;4 169 705,30;3 919 943,30
    Южный федеральный округ (по 2009 год);12 770 467,90;13 920 148,20;18 652 383,10;21 792 094,50;25 111 496,20;29 590 720,90;31 886 197,60;;;;;;;;;;;;;
    Южный федеральный округ (с 2010 года);;;;;;;;20 838 587,30;20 572 725,10;22 287 530,10;22 149 905;26 887 548;28 595 718,30;;;;;;;
    Южный федеральный округ (с 29.07.2016);;;;;;;;;;;;;;45 350 346,10;45 179 180,50;49 367 127,10;53 847 500,20;38 600 076,80;63 940 067,10;68 867 684,70
        Республика Адыгея (Адыгея);28 468,10;29 003;48 064,30;53 825,90;41 821,50;8 040,40;17 790;31 446;39 147,80;7 562,80;7 877,50;7 794,30;8 777,50;146 086,60;177 778,20;204 542;216 712,30;161 574,90;258 996,20;287 920,20
        Республика Калмыкия;0;0;10 270,80;9 890,70;2 972,20;9 523,80;0;0;0;48;302,4;478,7;69,3;6 141,30;2 593,80;2 517,10;3 443,80;1 723,40;3 344,70;4 022,40
        Республика Крым;;;;;;;;;;;;3 310 970,30;10 556 444,30;9 181 326,90;11 278 448;13 636 615,90;15 404 080,70;13 062 933;20 937 675,50;15 219 090,60
        Краснодарский край;8 889 926,40;9 173 892,80;12 163 746,20;14 024 343,30;16 216 369,80;18 745 683,10;19 404 666,70;19 761 470,50;19 203 402,30;20 845 934,70;20 605 264,80;25 315 042,60;26 941 903,10;34 360 150,50;32 511 266,50;34 084 123,80;36 620 873,60;24 181 653,50;41 066 339,20;51 256 701,80
        Астраханская область;79 046,40;104 313;121 879,10;139 021,80;156 465,90;174 812,50;223 110,40;197 825,90;182 020,90;185 389;247 215,90;235 302,30;229 926,80;281 520,40;292 321,20;301 887,30;324 450,90;159 947,80;372 527,40;389 015,40
