Регион;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
        Пермский край;74;67;67;65;58;61;60;53;48;46;46;45;43;38;43;41;39;40;38;35;36
        Кировская область;30;24;25;22;21;20;21;17;17;17;17;17;17;16;16;16;16;16;16;16;16
        Нижегородская область;56;54;46;44;42;43;44;41;41;41;40;41;37;35;36;39;40;37;38;39;37
        Оренбургская область;44;40;37;33;33;35;34;30;29;30;29;25;26;27;26;27;28;27;27;24;25
        Пензенская область;22;18;17;17;17;19;18;18;16;16;16;15;15;13;12;12;12;11;10;11;9
        Самарская область;57;53;49;47;53;53;63;49;49;48;48;42;43;43;41;38;38;41;39;41;40
        Саратовская область;21;22;19;23;24;23;23;23;23;22;23;23;23;22;20;22;21;21;23;23;21
        Ульяновская область;20;20;23;23;21;20;19;19;19;19;20;22;19;18;19;21;20;18;21;22;21
    Уральский федеральный округ;248;235;219;213;206;202;201;176;171;176;175;167;165;156;154;150;142;141;144;137;135
        Курганская область;23;22;23;22;22;21;21;21;21;19;19;19;19;21;19;21;17;19;19;14;13
        Свердловская область;116;107;95;91;90;88;93;69;68;68;69;65;65;61;57;53;52;50;52;51;49
        Тюменская область;32;34;31;31;31;34;33;33;30;31;31;30;30;27;32;30;29;29;30;29;30
            Ханты-Мансийский автономный округ - Югра (Тюменская область);6;6;6;6;7;7;7;7;7;7;6;6;5;5;5;5;5;5;6;6;7
            Ямало-Ненецкий автономный округ (Тюменская область);3;3;3;2;2;2;2;2;2;1;1;1;1;1;1;;;;;;
            Тюменская область (без АО);;;;;;;;;;;;;;;;25;;;;;
            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);;;;;;;;;;;;23;24;21;26;25;24;24;24;23;23
        Челябинская область;77;72;70;69;63;59;54;53;52;58;56;53;51;47;46;46;44;43;43;43;43
    Сибирский федеральный округ;332;325;313;308;303;294;291;268;261;267;264;255;247;236;226;222;;;;;
    Сибирский федеральный округ;;;;;;;;;;;;;;;;;199;200;205;200;207
        Республика Алтай;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3
        Республика Тыва;3;3;3;3;1;3;3;3;3;5;5;5;4;4;4;3;3;3;4;4;4
        Республика Хакасия;7;7;7;10;10;10;5;11;14;14;14;13;9;9;7;7;7;7;8;8;8
        Алтайский край;46;45;44;41;43;44;41;41;39;39;38;39;40;41;37;38;37;38;38;37;37
        Красноярский край;43;40;36;32;32;36;33;27;28;25;25;24;24;19;24;25;25;24;24;23;22
            Таймырский (Долгано-Ненецкий) автономный округ (Красноярский край);1;1;1;1;1;;;;;;;;;;;;;;;;
            Эвенкийский автономный округ (Красноярский край);;;;0;0;;;;;;;;;;;;;;;;
