Регион;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Ростовская область;2305060;2373024;2481068;2408098;35537184;36643525;36983331;36774641;36586821;36983273;38002826;37606300;37257142;37077283;36664499;35634265;29090675;31191554
г.Севастополь;;;;;;;;;;;4030585;2923368;3084221;3172219;3436429;3531365;3073472;4015336
Северо-Кавказский федеральный округ;2766609;3452934;8897654;8981648;58865441;72910803;50445584;78762893;85392902;80833396;76836474;77181379;77738342;78472124;79839559;80206164;66274550;71330023
Республика Дагестан;548;469;192625;2862;20187800;24358328;1048321;24548835;26685930;27178125;23374958;23562953;24048386;24053092;23652763;22890995;18247044;20387227
Республика Ингушетия;1426318;1644449;1768671;2072772;2288412;2187574;2478261;2534760;3060006;3212468;3429349;4095202;4150166;4195985;4256587;4267254;3968516;4051929
Кабардино-Балкарская Республика;330372;334120;348857;345491;166592;7760718;7989181;8109495;8314776;8271609;7932796;7751274;7430665;7259704;7364584;7914492;5783994;6182619
Карачаево-Черкесская Республика;48142;57831;61811;60991;2626909;2816320;2954918;4545764;4525892;4107077;3272994;3058831;3071271;3101165;3203374;3231946;2460359;2822820
Республика Северная Осетия - Алания;427131;416554;495847;625846;6425645;6358757;6441897;6628696;6670068;6863445;7052364;6739346;6752039;6839880;6530449;6507690;4706085;5130349
Чеченская Республика;;0;4657664;4641066;5482493;7097953;8026052;8456025;9874200;6685922;6989509;6985497;7171461;7372985;8877313;9175959;8682463;9322816
Ставропольский край;534098;999511;1372179;1232620;21687590;22331153;21506954;23939318;26262030;24514750;24784504;24988276;25114354;25649313;25954489;26217828;22426089;23432263
Приволжский федеральный округ;37180503;18807778;21412835;25244567;316638757;318111474;314467561;313093834;317515533;309471692;306210521;298065580;297286216;296686263;300781774;301403074;255488821;282202551
Республика Башкортостан;2439327;2312366;2608305;2817724;43552129;44681933;44954238;45133600;44971771;41102816;40148763;39294351;37370764;38137050;38745741;39220340;35754490;38868064
Республика Марий Эл;257717;260938;258750;231667;6698996;6795784;6747282;6668546;7194190;7136611;6712624;6716246;6801465;6662312;6431836;6637216;5584321;6460448
Республика Мордовия;557529;541955;600130;616127;9714020;9804487;9548887;9231174;9458667;9535649;9084295;8695349;8207544;8358686;8385077;7987350;6237317;7260973
Республика Татарстан;2677621;2643641;2565974;2317957;43003404;41282642;40982796;40979415;40527366;38047243;40681419;35073331;36368527;36212261;36638330;36142931;31167726;33146814
Удмуртская Республика;508;666;646537;605200;16315568;16312071;16834399;16281688;16600877;16704791;16446271;16505394;16233738;16428573;17660835;18534228;16339467;17778984
Чувашская Республика;368631;377473;614554;609396;14938919;14846089;15002899;15016023;15436349;15097009;14660489;15195438;15014662;15014158;15335847;15166491;13055837;14840332
Пермский край;1334981;1195133;1201212;2379871;28459318;27973227;27931966;26720080;27406621;27487464;28171172;27503922;27759090;28089501;28218867;27852537;22108297;25928318
Кировская область;1194435;1265353;1415848;1447636;12638737;12554489;12409431;12286156;12755518;12690242;12497473;12812396;12834014;12773925;12533350;12880404;10747148;11602622
Нижегородская область;1072000;2569912;3691541;4302724;28681516;32009695;31770870;31436852;32930675;34740634;34293994;33591895;34780798;33352525;33546176;33845340;27580602;31179341
Оренбургская область;20976900;1448351;1374491;1621217;23450198;23601029;22768198;21201568;21086855;20882377;20253085;20223507;20371369;19715963;19855984;19720507;16724676;18593596
Пензенская область;1164893;1113651;1022952;1311594;14658187;14629310;14776960;14926295;14605863;13732947;13459541;12959770;13044344;13581574;14163196;13689367;11801862;13762892
Самарская область;2268781;2103006;2177136;3653647;31330615;30564039;28299479;30492436;30112043;30477324;31321553;31072100;30789179;31066095;32105054;32527514;26856976;29532723
Саратовская область;2155127;2191549;2430090;2534674;29338659;28776426;28303016;28357678;30037244;28090312;25635613;25460298;24816029;24228871;23880124;23809704;19874087;20559738
Ульяновская область;712053;783784;805315;795133;13858491;14280253;14137140;14362323;14391494;13746273;12844229;12961583;12894693;13064769;13281357;13389145;11656015;12687706
Уральский федеральный округ;8605695;14138547;13930088;16503528;128921017;128403816;127717741;125288906;126976771;126663364;125247821;123943642;122851041;122509899;122674530;124674929;106313907;122096574
Курганская область;609631;587328;604759;632530;7541884;7575363;7537916;7468012;7882331;7538003;7530285;7435813;7481547;7499604;7263176;7262213;5736210;5987703
Свердловская область;861589;6313591;7827079;8768911;45216368;44346251;43505318;41481772;43432911;44552595;42556561;41363196;40509927;39583518;39467155;40129959;33743118;38595052
Тюменская область;2800168;3066689;3127683;3092132;40549680;40676783;40389217;39944467;41969959;42802637;43346152;43075932;42739189;43942151;44315347;46082042;39684956;47375570
Ханты-Мансийский автономный округ-Югра;883754;929916;901082;733928;19490168;19261566;19209668;18265728;19125964;19077658;19440781;19477400;19027816;19018678;19002503;19545944;16866865;20992403
Ямало-Ненецкий автономный округ;624078;771845;741157;664253;6624093;6395500;6211469;6485771;6639562;6697785;6413773;6784417;6776556;6808848;6778345;7016431;5487830;7337724
Тюменская область (кроме Ханты-Мансийского автономного округа - Югры и Ямало-Ненецкого автономного округа);1292336;1364928;1485444;1693951;14435419;15019717;14968080;15192968;16204433;17027194;17491598;16814115;16934817;18114625;18534499;19519667;17330261;19045443
Челябинская область;4334307;4170939;2370567;4009955;35613085;35805419;36285290;36394655;33691570;31770129;31814823;32068701;32120378;31484626;31628852;31200715;27149623;30138249
Сибирский федеральный округ;22234611;44834782;45856283;63071207;176939769;183637740;179518150;179720487;181249911;179251254;172184473;170263697;168523336;171490632;170050624;168626129;140172507;168439632
Республика Алтай;88385;83494;87263;73539;1952700;1976450;1997626;2114270;2057722;2091857;2014640;2019027;1944920;1911721;1796476;1904814;1409102;1555306
Республика Тыва;72546;71711;70804;77376;2920525;3040239;2959774;3195982;2989427;2912711;2656662;2681039;2778400;2845430;2961207;2971445;2422083;2588471
Республика Хакасия;399367;442085;524077;573215;5074606;5159116;4989546;5072412;4955799;5232471;4860390;4797929;4755904;4849405;4823654;4724844;3576637;3990546
Алтайский край;1749065;2057020;26437755;29338140;25574525;26289397;25285428;24074296;23716054;24762162;23640167;23729920;23723297;23540776;22407849;21865750;16286846;19481157
Красноярский край;4445717;2270971;4672547;2716919;30340809;31785581;31474415;31517852;31732972;31468892;29775880;29427514;27344607;27158657;27715094;27765730;23576477;26416876
Иркутская область;3704178;3265714;3029350;2786162;23055456;22840802;22699029;23000117;22509045;22542417;22327743;21634576;22158360;22781193;22945938;22640155;18325573;30564138
Кемеровская область ;3795143;3466409;3738892;3267438;31791007;32765180;30908783;30543347;31113823;30212650;28964148;28292647;27647262;28058547;26248871;25755580;21283685;22970576
Новосибирская область;5850787;30808657;4825230;21597862;28252878;28745397;28881998;28994026;29433605;26709611;26264806;25771589;25763655;27596330;28989144;28898780;27201796;30280384
Омская область;1314244;1568628;1508908;1678749;19940283;21271227;20518345;20501143;21546776;21861828;20599125;20970616;21707684;21816829;20984888;20295752;17595886;19717530
Томская область;815179;800093;961457;961807;8036980;9764351;9803206;10707042;11194688;11456655;11080912;10938840;10699247;10931744;11177503;11803279;8494422;10874648
Дальневосточный федеральный округ;9801949;9597518;18385207;25469650;76976447;77615871;76651851;77967813;78619770;78301222;86946204;87441588;87278924;86071030;85732587;86175328;71886594;79835548
Республика Бурятия;1290425;1178287;1061905;1350742;9065119;9100140;9123339;9213952;9361058;9805918;9834331;9545380;9834612;9369258;8955406;8702849;7426326;8456992
Республика Саха (Якутия);331524;438567;9093350;8456716;9814258;9679380;9777441;9757929;10084675;10055218;9736081;9681191;9491218;9739546;9852140;9754448;6954150;8950291
Забайкальский край;1443945;1256236;1117167;1313484;1153935;898693;978219;1880874;1187890;1369797;10681368;10576000;10648564;10940944;11106771;12046692;9910003;10956290
Камчатский край;328772;308246;317230;523834;3288860;3087387;3047249;2988792;2975916;2911575;2946949;2935586;2802888;2761001;2787526;2769961;2225394;2715769
Приморский край;2103898;2213536;2712381;2154082;19045824;19887320;19710978;20448429;20451246;20290245;20270010;21064831;20226492;19152611;19316110;19354968;16129032;17357131
Хабаровский край;1833025;1681470;1740963;1949807;15785783;15825209;15701716;15736109;16199338;15565532;15567077;15126591;16138253;16131491;16045990;15527716;14228866;15162648
Амурская область;1423364;1583907;1463930;8844898;8853912;8837675;9058914;8875829;9211466;9138668;9020104;9333951;8864186;8727432;8596758;8882891;7205826;7751933
Магаданская область;194230;194390;207457;173930;1937763;2540018;1768448;1733320;1724848;1710428;1679354;1690230;1819803;1779604;1755719;1718104;1286603;1388588
Сахалинская область;582203;462028;418617;446598;5627598;5428993;5203994;5119227;5213013;5288336;5061932;5257103;5279513;5277062;5151929;5315750;4821082;5219825
Еврейская автономная область;248426;257927;228537;233342;1820337;1821598;1759639;1673736;1678104;1657983;1592115;1640779;1592451;1585699;1576038;1536661;1206218;1357470
Чукотский автономный округ;22137;22924;23670;22217;583058;509458;521914;539616;532216;507522;556883;589946;580944;606382;588200;565288;493094;518611
